Anno,Regione,Comune,Localita,Codice stazione,Bacino idrografico,Corpo idrico,Livello di contaminazione,Campioni,Misure,n misure positive,Sostanze cercate,Sostanze trovate,Pesticidi totali,x,y
2020,Lombardia,Villa di Chiavenna ,Chete,N0080010181IR1,MERA- Mera (Fiume),dal confine svizzero alla confluenza del Liro,Non quantificabile,4,220,0,55,0,,1057686.2874037,5833597.93475576
2020,Lombardia,Piancogno,,N0080600171LO1,OGLIO SOPRALACUALE- Trobiolo (Torrente),dalla sorgente alla immissione in Oglio,Non quantificabile,3,165,0,55,0,,1140484.94942653,5770016.0911086
2020,Lombardia,Lezzeno,presa,N008001055471LO1,LAGO DI COMO (LARIO)- Valle Di Villa (Torrente),dalla sorgente alla immissione nel lago di Como,Non quantificabile,2,236,0,109,0,,1024852.21335196,5772192.04685064
2020,Lombardia,Valdidentro,,N00800102921LO1,ADDA PRELACUALE,Viola Bormina (Torrente),Non quantificabile,4,212,0,53,0,,1150099.915503,5857976.63473172
2020,Lombardia,Castro,,N008060002022LO1,LAGO D'ISEO (SEBINO),Oneto (Torrente),Non quantificabile,4,220,0,55,0,,1119564.79674778,5749600.1239625
2020,Lombardia,Valdidentro,,N0080010291LO2,ADDA PRELACUALE,Viola Bormina (Torrente),Non quantificabile,4,212,0,53,0,,1137507.66533408,5851988.85581577
2020,Lombardia,Tremosine,,N008056007481LO1,LAGO DI GARDA (BENACO)- S.Michele (Torrente),dalla sorgente alla immissione nel lago di Garda,Non quantificabile,4,472,1,109,0,0.032,1196527.6525725,5741070.6303192
2020,Lombardia,Zogno,Ambria,N008001006162LO1,BREMBO- Serina o Ambria (Torrente),dal Val d'Ola alla immissione in Brembo,Non quantificabile,4,472,0,109,0,,1077740.46466591,5749617.4624981
2020,Lombardia,Voghera,,N0080883IR1,Po- Staffora (Torrente),dall'Ardivestra la depuratore di Voghera,Non quantificabile,4,465,0,108,0,,1003700.28165028,5615189.44597127
2020,Lombardia,Vestone,"nel centro abitato, in corrispondenza del ponte della S.S.237",N008060004522LO1,CHIESE SUBLACUALE- Nozza (Torrente),dal secondario alla immissione in Chiese,Non quantificabile,3,171,1,57,0,0.03,1156297.96448064,5732716.47037589
2020,Lombardia,Bellano,Foce -ponte pedon. viale T. Grossi ,N0080010193LO1,LAGO DI COMO (LARIO)- Pioverna (Torrente),da Taceno alla immissione nel lago di Como,Non quantificabile,5,10,0,2,0,,1035126.97748758,5787083.87213449
2020,Lombardia,Bagnolo S. Vito,,POMI5GHCA1LO1,MINCIO- Gherardo (Canale),GHERARDO,Superiore ai limiti,6,706,25,109,4,4.143,1212126.89824427,5637300.29193036
2020,Lombardia,Nuvolento,,N00806000463011LO1,OGLIO SUBLACUALE- Oglio (Fiume),Rudone (Rio),Non quantificabile,3,348,0,107,0,,1155826.45495275,5707184.58396972
2020,Lombardia,Como,s. Martino,N0080010552LO2,LAGO DI COMO (LARIO)- Cosia (Torrente),dal Rio V. Ponzate alla immissione nel lago di Como,Superiore ai limiti,4,472,7,109,2,2.226,1013792.85181753,5748807.96660776
2020,Lombardia,Solferino,,POOG3CH3LOCA1LO2,CHIESE SUBLACUALE,Seriola Di Lonato - Arno (Canale),Superiore ai limiti,2,236,2,109,2,1.01,1172764.94146964,5679515.80122437
2020,Lombardia,Sannazzaro de' Burgondi,,POARCA1LO3,Po,Ariazzolo (Colatore),Superiore ai limiti,2,236,15,109,4,1.147,995464.583328569,5635346.52081583
2020,Lombardia,Sermide e Felonica,,N00819IR2,Po,Po (Fiume),Superiore ai limiti,4,474,12,111,1,0.384,1263726.63550686,5619048.67054905
2020,Lombardia,Varese,,N00804100201011LO1,OLONA-LAMBRO MERIDIONALE- Bevera (Torrente),dalla sorgente alla immissione in Olona,Entro i limiti,3,354,4,109,2,0.341,987235.05070301,5751756.73099965
2020,Lombardia,Gabbioneta Binanuova,,N0080607LO1,OGLIO SUBLACUALE- Oglio (Fiume),dallo Strone alla confluenza del Mella,Entro i limiti,4,473,11,110,3,0.503,1132614.65872694,5659428.54776204
2020,Lombardia,Sant.Angelo Lodigiano , Ponte vecchio ex SS 235 ,N0080446LO1,LAMBRO- Lambro (Fiume),dal Redefossi a confluenza del L. Meridionale,Superiore ai limiti,4,473,20,110,3,2.474,1048030.86912131,5659882.80485883
2020,Lombardia,Orio Litta, ponte SS 234,N0080447LO1,LAMBRO- Lambro (Fiume),dal L.Meridionale a immisione in Po,Superiore ai limiti,6,707,23,110,3,3.235,1061109.01001827,5647626.14619415
2020,Lombardia,Rho  ,Via Canova,N00804400201013LO1,OLONA-LAMBRO MERIDIONALE- Lura (Torrente),da Caronno Pertusella a immissione in Olona,Entro i limiti,1,118,1,109,1,0.094,1007554.54910547,5704082.44334679
2020,Lombardia,Brebbia,Presso la stamperia di Brebbia.,N0080981151LO1,LAGO MAGGIORE (VERBANO)- Bardello (Fiume),dal lago di Varese fino al lago Maggiore,Superiore ai limiti,4,473,11,110,2,1.988,961139.650132762,5754953.81162986
2020,Lombardia,Goito,,POMI3CACA1LO1,MINCIO- Caldone (Scolo),Scolo Caldone,Superiore ai limiti,6,706,28,109,6,3.032,1187179.38151591,5662615.0988996
2020,Lombardia,Rodigo,,POMI3GOCA1LO1,MINCIO- Caldone (Canale),Canale Goldone/ Canale Caldone,Superiore ai limiti,6,706,25,109,2,0.864,1188780.24396258,5652935.18660199
2020,Lombardia,Lodrino,,N00806000831012LO1,MELLA- Lembrio (Torrente),dal sorgente Lembrio alla immissione in Mella,Entro i limiti,4,473,1,110,1,0.06,1141128.06584307,5734350.35734485
2020,Lombardia,Pezzaze,,N008060008062LO1,MELLA- Mella del Molinorso (Torrente),dal fosso S. Zeno alla immissione in Mella,Entro i limiti,4,473,1,110,1,0.15,1140963.66500966,5742402.49308284
