Comune,Livello di contaminazione,count
caldogno,Entro i limiti,1
calitri(av),Non quantificabile,1
calolziocorte/olginate,Non quantificabile,1
caltignaga,Superiore ai limiti,2
calvatone,Superiore ai limiti,1
camagna monf.,Entro i limiti,1
camaiore,Non quantificabile,1
cambiano,Superiore ai limiti,1
cameri,Non quantificabile,1
camisano vicentino,Entro i limiti,2
campagna lupia,Superiore ai limiti,2
campagna(sa),Superiore ai limiti,1
campi bisenzio,Non quantificabile,1
campiglia dei berici,Superiore ai limiti,1
campodarsego,Entro i limiti,1
campolongo maggiore,Superiore ai limiti,1
camposampiero,Entro i limiti,2
campotosto,Non quantificabile,2
camugnano,Non quantificabile,1
canaro,Entro i limiti,1
cancelloedarnone(ce),Non quantificabile,1
cancelloedarnone(ce),Superiore ai limiti,1
candia canavese,Non quantificabile,1
canelli,Superiore ai limiti,1
cannara,Superiore ai limiti,1
canneto sull oglio,Superiore ai limiti,1
canneto sulloglio,Entro i limiti,2
canonica dadda,Entro i limiti,1
canosa di puglia,Superiore ai limiti,1
canossa,Non quantificabile,1
cantarana,Entro i limiti,1
cantù,Superiore ai limiti,1
caorle,Entro i limiti,1
caorle,Superiore ai limiti,2
caorso,Superiore ai limiti,1
capaccio(sa),Superiore ai limiti,1
capalbio,Entro i limiti,1
capalbio,Non quantificabile,1
capergnanica,Entro i limiti,1
capodimonte,Non quantificabile,1
cappella cantone,Entro i limiti,1
capraia e limite,Entro i limiti,1
caprarola,Non quantificabile,1
capriolo,Entro i limiti,1
capua(ce),Superiore ai limiti,1
carassai,Non quantificabile,1
carbonera,Superiore ai limiti,1
carema,Non quantificabile,1
caresana,Superiore ai limiti,1
caresanablot,Entro i limiti,1
carignano,Entro i limiti,1
carinola(ce),Non quantificabile,1
carisio,Entro i limiti,1
carmignano,Superiore ai limiti,1
carnate,Superiore ai limiti,1
carovigno,Non quantificabile,1
carpaneto piacentino,Non quantificabile,1
carpi,Superiore ai limiti,1
carpino,Non quantificabile,1
casal cermelli,Non quantificabile,1
casale sul sile,Superiore ai limiti,2
casalecchio di reno,Superiore ai limiti,1
casaleone,Entro i limiti,1
casaleone,Superiore ai limiti,1
casaletto ceredano,Superiore ai limiti,1
casaletto di sopra,Non quantificabile,1
casalino,Superiore ai limiti,1
casalmoro,Entro i limiti,1
casalnuovo monterotaro,Entro i limiti,1
casalpusterlengo,Superiore ai limiti,1
casalvelino(sa),Non quantificabile,1
casalvelino(sa),Superiore ai limiti,1
casanova elvo,Superiore ai limiti,1
casarile,Superiore ai limiti,1
caselleinpittari(sa),Non quantificabile,1
casnigo,Superiore ai limiti,1
cassano magnago,Superiore ai limiti,1
castel bolognese,Entro i limiti,1
castel focognano,Non quantificabile,1
castel gandolfo,Non quantificabile,1
castel maggiore,Non quantificabile,1
castel san giovanni,Superiore ai limiti,2
castel san pietro terme,Entro i limiti,1
castel san vincenzo,Non quantificabile,1
castelbellino,Non quantificabile,1
castelcampagnano(ce),Superiore ai limiti,1
castelcucco,Non quantificabile,1
casteldisasso(ce),Non quantificabile,1
castelfidardo,Non quantificabile,1
castelforte,Entro i limiti,1
castelgoffredo,Entro i limiti,1
castellarano,Non quantificabile,1
castello di annone,Entro i limiti,1
castello di godego,Non quantificabile,1
castellodicisterna(na),Superiore ai limiti,1
castellucchio,Superiore ai limiti,1
castelmarte,Non quantificabile,1
castelmassa,Entro i limiti,1
castelmella,Entro i limiti,1
castelmella,Superiore ai limiti,1
