Comune,Livello di contaminazione,count
peschiera borromeo,Superiore ai limiti,1
peschiera del garda,Entro i limiti,1
pescia,Non quantificabile,1
pescina,Non quantificabile,1
pescopagano,Non quantificabile,1
petralia sottana,Superiore ai limiti,1
petriolo,Non quantificabile,1
pezzaze,Entro i limiti,1
piacenza,Non quantificabile,2
piadena,Superiore ai limiti,2
piana degli albanesi,Entro i limiti,1
piana degli albanesi,Non quantificabile,1
piana degli albanesi,Superiore ai limiti,1
piancastagnaio,Non quantificabile,1
piancogno,Non quantificabile,1
piazzola sul brenta,Non quantificabile,1
piegaro,Superiore ai limiti,1
pietrasanta,Entro i limiti,1
pieve del cairo,Superiore ai limiti,1
pieve di cadore,Non quantificabile,1
pieve porto morone,Superiore ai limiti,1
pieve santo stefano,Non quantificabile,2
pieve vergonte,Superiore ai limiti,2
pignola,Non quantificabile,1
pineto,Non quantificabile,1
piombino dese,Entro i limiti,1
piombino dese,Non quantificabile,2
pisa,Entro i limiti,1
pisogne,Entro i limiti,1
pisticci,Entro i limiti,1
pistoia,Entro i limiti,3
pistoia,Non quantificabile,5
pistoia,Superiore ai limiti,1
pizzighettone,Entro i limiti,2
poggibonsi,Entro i limiti,1
poggibonsi,Non quantificabile,1
poggibonsi,Superiore ai limiti,1
poggio torriana,Non quantificabile,1
poiana maggiore,Superiore ai limiti,1
polesella,Entro i limiti,1
polla(sa),Superiore ai limiti,1
polonghera,Entro i limiti,1
pomarance,Non quantificabile,2
ponte buggianese,Superiore ai limiti,3
ponte di piave,Entro i limiti,1
ponte di piave,Superiore ai limiti,1
ponte nelle alpi,Non quantificabile,1
ponte nizza,Entro i limiti,1
ponte nossa,Entro i limiti,1
ponte nossa,Non quantificabile,1
ponte san nicolò,Entro i limiti,1
ponte(bn),Non quantificabile,1
pontecorvo,Entro i limiti,1
pontenure,Non quantificabile,1
pontestura,Superiore ai limiti,1
pontey,Non quantificabile,1
ponti sul mincio,Superiore ai limiti,1
pontida,Entro i limiti,1
pontinia,Non quantificabile,1
pontinia,Superiore ai limiti,1
pontremoli,Superiore ai limiti,1
ponzone,Superiore ai limiti,1
porlezza,Non quantificabile,2
portalbera,Superiore ai limiti,1
porto  ceresio,Superiore ai limiti,1
porto cesareo,Entro i limiti,1
porto mantovano,Entro i limiti,1
porto recanati,Non quantificabile,1
porto sant'elpidio,Non quantificabile,1
porto tolle,Entro i limiti,4
porto tolle,Non quantificabile,3
porto viro,Entro i limiti,1
porto viro,Non quantificabile,1
porto viro,Superiore ai limiti,1
portogruaro,Superiore ai limiti,1
potenza,Non quantificabile,2
povegliano,Entro i limiti,1
pozzolengo,Superiore ai limiti,1
pozzonovo,Entro i limiti,1
pozzuoli (na),Non quantificabile,2
pozzuoli(na),Superiore ai limiti,1
pragelato,Superiore ai limiti,2
pralboino,Superiore ai limiti,1
pramaggiore,Entro i limiti,1
prata camportaccio,Non quantificabile,1
prato,Non quantificabile,1
prato,Superiore ai limiti,1
predaia,Superiore ai limiti,1
preganziol,Entro i limiti,1
premana,Entro i limiti,1
prevalle,Non quantificabile,1
prizzi,Entro i limiti,1
prossedi,Non quantificabile,1
pré-saint-didier,Non quantificabile,1
quarrata,Entro i limiti,2
quarrata,Superiore ai limiti,3
quart,Non quantificabile,1
quarto d'altino,Superiore ai limiti,2
quattro castella,Non quantificabile,1
quinto vercellese,Entro i limiti,1
quistello,Superiore ai limiti,2
racconigi,Entro i limiti,1
ragogna,Entro i limiti,1
ragusa,Entro i limiti,2
ragusa,Superiore ai limiti,2
rapolla,Non quantificabile,1
ravenna,Entro i limiti,1
ravenna,Non quantificabile,2
ravenna,Superiore ai limiti,7
re,Entro i limiti,1
rea,Superiore ai limiti,1
recanati,Non quantificabile,1
redondesco,Superiore ai limiti,1
reggello,Entro i limiti,1
reggio nell'emilia,Non quantificabile,1
reggio nell'emilia,Superiore ai limiti,1
resana,Superiore ai limiti,1
revine lago,Entro i limiti,1
rezzato,Non quantificabile,1
rho,Entro i limiti,1
rho,Superiore ai limiti,1
riccione,Superiore ai limiti,2
riese pio x,Entro i limiti,1
rieti,Entro i limiti,2
rieti,Non quantificabile,2
rignano garganico,Superiore ai limiti,2
rimini,Entro i limiti,1
rimini,Non quantificabile,1
rimini,Superiore ai limiti,1
rionero,Non quantificabile,1
ripacandida,Entro i limiti,1
riparbella,Non quantificabile,1
ripe,Non quantificabile,1
riva del po,Superiore ai limiti,1
rivarolo del re ed uniti,Superiore ai limiti,1
roccadaspide(sa),Non quantificabile,1
roccapiemonte(sa),Superiore ai limiti,1
roccavivara,Non quantificabile,1
rodigo,Entro i limiti,1
rodigo,Superiore ai limiti,1
roma,Entro i limiti,3
roma,Non quantificabile,3
roma,Superiore ai limiti,2
romagnanoalmonte(sa),Non quantificabile,1
roncade,Entro i limiti,2
roncegno terme,Non quantificabile,1
roncoferraro,Entro i limiti,1
roncoferraro,Superiore ai limiti,2
roseto degli abruzzi,Non quantificabile,1
rosignano marittimo,Non quantificabile,2
rosolina,Entro i limiti,2
rosolina,Non quantificabile,1
rotondella,Non quantificabile,1
rovasenda,Superiore ai limiti,1
rovato,Non quantificabile,1
roverchiara,Entro i limiti,1
rovereto,Entro i limiti,1
roverè della luna,Superiore ai limiti,1
rovigo,Entro i limiti,1
rovigo,Non quantificabile,2
rovolon,Superiore ai limiti,1
rudiano,Non quantificabile,1
s. angelo lodigiano,Superiore ai limiti,1
s. benedetto po,Superiore ai limiti,2
s. donato milanese,Superiore ai limiti,1
s. giuliano milanese,Superiore ai limiti,1
s. martino in strada,Superiore ai limiti,1
s. stefano lodigiano,Superiore ai limiti,1
s. zenone po,Entro i limiti,1
s.angelodeilombardi(av),Non quantificabile,1
s.marinapolicastrobus.(sa),Non quantificabile,1
sabaudia,Entro i limiti,1
sabaudia,Non quantificabile,3
sabbioneta,Superiore ai limiti,1
saccolongo,Superiore ai limiti,1
sagrado,Non quantificabile,1
salandra,Non quantificabile,1
salara,Entro i limiti,1
salcedo,Non quantificabile,1
salerno(sa),Entro i limiti,1
salgareda,Superiore ai limiti,1
salorno,Entro i limiti,1
salorno,Superiore ai limiti,1
salsomaggiore terme,Non quantificabile,1
saluggia,Superiore ai limiti,1
salussola,Superiore ai limiti,1
saluzzo,Entro i limiti,1
saluzzo,Non quantificabile,1
salvitelle(sa),Non quantificabile,1
salzano,Superiore ai limiti,1
samolaco,Non quantificabile,1
san benedetto del tronto,Entro i limiti,1
san benedetto del tronto,Non quantificabile,1
san benedetto po,Superiore ai limiti,1
san biagio di callalta,Non quantificabile,1
san biagio di callalta,Superiore ai limiti,1
san bonifacio,Entro i limiti,1
san candido,Non quantificabile,1
san casciano in val di pesa,Entro i limiti,1
san daniele po,Superiore ai limiti,1
san giorgio a liri,Non quantificabile,1
san giorgio delle pertiche,Entro i limiti,1
san giorgio in bosco,Entro i limiti,2
san giorgio lucano,Non quantificabile,1
san giovanni ilarione,Non quantificabile,1
san giovanni in persiceto,Superiore ai limiti,1
san giovanni lupatoto,Entro i limiti,1
san lazzaro di savena,Non quantificabile,1
san leo,Non quantificabile,1
san marco in lamis,Superiore ai limiti,3
san martino alfieri,Non quantificabile,1
san martino buon albergo,Entro i limiti,2
san martino buon albergo,Non quantificabile,2
san michele al tagliamento,Entro i limiti,1
san michele all'adige,Entro i limiti,1
san michele all'adige,Non quantificabile,1
san miniato,Non quantificabile,1
san paolo civitate,Superiore ai limiti,1
san pietro mosezzo,Superiore ai limiti,1
san polo d'enza,Non quantificabile,1
san secondo parmense,Non quantificabile,1
san severino marche,Non quantificabile,1
san severo,Superiore ai limiti,1
san vendemiano,Entro i limiti,1
sanbartolomeoingaldo(bn),Non quantificabile,1
sandrigo,Entro i limiti,1
sandrigo,Non quantificabile,1
sanmarzanosulsarno(sa),Entro i limiti,1
sanmarzanosulsarno(sa),Superiore ai limiti,1
sannazzaro de' burgondi,Superiore ai limiti,1
sansepolcro,Entro i limiti,2
sant'agata di militello,Entro i limiti,1
sant'agata di puglia,Superiore ai limiti,1
sant'angelo in lizzola,Non quantificabile,1
sant'egidio alla vibrata,Non quantificabile,1
sant'ilario d'enza,Non quantificabile,1
sant'urbano,Superiore ai limiti,2
sant.angelo lodigiano,Superiore ai limiti,1
santa giustina in colle,Entro i limiti,1
santa luce,Non quantificabile,1
santa maria a monte,Superiore ai limiti,1
santa marinella,Non quantificabile,1
santa sofia,Non quantificabile,1
santarcangelo di romagna,Non quantificabile,1
santo stefano belbo,Superiore ai limiti,1
santorso,Non quantificabile,1
sanvalentinotorio(sa),Superiore ai limiti,1
sanza(sa),Non quantificabile,1
sarconi,Non quantificabile,1
sarego,Non quantificabile,2
sarezzo,Non quantificabile,1
sarezzo,Superiore ai limiti,1
sarmato,Entro i limiti,1
sarnico,Entro i limiti,1
sarno(sa),Non quantificabile,2
sassocorvaro,Non quantificabile,1
sassoferrato,Non quantificabile,1
sassuolo,Non quantificabile,1
savigliano,Non quantificabile,3
savignano sul rubicone,Superiore ai limiti,1
savogna d'isonzo,Non quantificabile,1
scafati(sa),Superiore ai limiti,1
scandiano,Non quantificabile,1
scansano,Non quantificabile,1
scanzano jonico,Non quantificabile,1
scarlino,Entro i limiti,1
scarperia e san piero,Superiore ai limiti,1
schio,Non quantificabile,1
scorzè,Entro i limiti,2
segni,Superiore ai limiti,1
senigallia,Entro i limiti,1
senigallia,Non quantificabile,1
senise,Non quantificabile,2
senise,Superiore ai limiti,1
sergnano,Entro i limiti,1
seriate,Superiore ai limiti,1
sermide,Superiore ai limiti,2
sermide e felonica,Superiore ai limiti,1
sermoneta,Non quantificabile,1
serra san quirico,Non quantificabile,1
serravalle a po,Superiore ai limiti,1
serravalle di chienti,Superiore ai limiti,1
serre(sa),Non quantificabile,1
sesto calende,Entro i limiti,2
sesto campano,Non quantificabile,1
sesto ed uniti,Superiore ai limiti,1
sezze,Non quantificabile,1
sicignanodeglialburni(sa),Entro i limiti,1
siena,Superiore ai limiti,2
silea,Entro i limiti,1
silea,Non quantificabile,1
sillano giuncugnano,Non quantificabile,2
silvano d'orba,Entro i limiti,1
silvi,Non quantificabile,1
sissa trecasali,Superiore ai limiti,1
sogliano al rubicone,Non quantificabile,1
solferino,Superiore ai limiti,1
solignano,Non quantificabile,1
somaglia,Superiore ai limiti,1
somma lombardo,Superiore ai limiti,1
sona,Entro i limiti,1
soncino,Non quantificabile,1
sondrio,Non quantificabile,1
sorgà,Superiore ai limiti,2
sortino,Entro i limiti,1
sospirolo,Non quantificabile,1
sossano,Entro i limiti,1
sossano,Superiore ai limiti,1
sovizzo,Entro i limiti,1
sperlonga,Non quantificabile,1
spinadesco,Superiore ai limiti,1
sporminore,Entro i limiti,2
stagno lombardo,Superiore ai limiti,1
stanghella,Entro i limiti,1
stigliano,Non quantificabile,1
storo,Non quantificabile,2
stra,Non quantificabile,1
strambino,Non quantificabile,1
strevi,Superiore ai limiti,1
striano(na),Entro i limiti,1
stroppo,Superiore ai limiti,1
subbiano,Non quantificabile,1
susegana,Non quantificabile,1
taggia,Non quantificabile,1
tagliacozzo,Non quantificabile,1
taglio di po,Entro i limiti,2
taglio di po,Superiore ai limiti,1
taranto,Entro i limiti,2
taranto,Non quantificabile,2
tarquinia,Non quantificabile,2
tarzo,Non quantificabile,1
tavernerio,Non quantificabile,1
teglio,Non quantificabile,1
teleseterme(bn),Entro i limiti,1
teramo,Non quantificabile,3
terni,Entro i limiti,1
terni,Non quantificabile,1
terracina,Entro i limiti,1
terracina,Non quantificabile,1
terrazzo,Entro i limiti,1
tezze sul brenta,Non quantificabile,1
tirano,Non quantificabile,1
todi,Superiore ai limiti,1
tolentino,Non quantificabile,1
tolfa,Non quantificabile,2
tolve,Non quantificabile,1
ton,Entro i limiti,1
torgiano,Superiore ai limiti,2
torino,Non quantificabile,3
torino,Superiore ai limiti,1
torre d'isola,Entro i limiti,1
torre di mosto,Entro i limiti,2
torre di mosto,Superiore ai limiti,1
torreannunziata(na),Superiore ai limiti,1
torri del benaco,Non quantificabile,2
torri di quartesolo,Entro i limiti,2
torricella sicura,Non quantificabile,1
torrita tiberina,Non quantificabile,1
toscolano maderno,Entro i limiti,1
travacò  siccomario,Superiore ai limiti,2
traversella,Superiore ai limiti,1
traversetolo,Non quantificabile,1
trecate,Superiore ai limiti,1
tremosine,Non quantificabile,2
trento,Entro i limiti,2
trento,Non quantificabile,4
trescore balneario,Non quantificabile,1
trevenzuolo,Entro i limiti,1
trevenzuolo,Superiore ai limiti,1
treviglio,Entro i limiti,1
trevignano romano,Non quantificabile,1
treviso,Entro i limiti,1
treviso,Non quantificabile,5
trezzo d' adda,Entro i limiti,1
tribano,Entro i limiti,1
tricarico,Non quantificabile,1
trinitapoli,Entro i limiti,1
trinitapoli,Superiore ai limiti,1
trino,Superiore ai limiti,1
trissino,Non quantificabile,1
troia,Entro i limiti,1
troina,Superiore ai limiti,1
trucazzano,Superiore ai limiti,1
tufo(av),Entro i limiti,1
turano lodigiano,Entro i limiti,1
tursi,Non quantificabile,1
tuscania,Non quantificabile,1
ubiale clanezzo,Non quantificabile,1
urbino,Non quantificabile,1
urbisaglia,Non quantificabile,1
vaglio basilicata,Non quantificabile,1
vairano (ce),Entro i limiti,2
vairanopatenora(ce),Superiore ai limiti,1
valbrembo,Superiore ai limiti,1
valdagno,Non quantificabile,1
valdidentro,Non quantificabile,4
valdobbiadene,Superiore ai limiti,1
valeggio sul mincio,Entro i limiti,1
valentano,Non quantificabile,1
valenza,Superiore ai limiti,2
vallata(av),Non quantificabile,1
valle castellana,Non quantificabile,2
valmadrera,Entro i limiti,1
valmadrera,Superiore ai limiti,1
valnegra,Non quantificabile,1
valprato soana,Non quantificabile,1
valsamoggia,Non quantificabile,2
vandoies,Non quantificabile,1
vaprio d'agogna,Entro i limiti,1
varese,Entro i limiti,1
varese,Superiore ai limiti,2
varisella,Superiore ai limiti,1
varzi,Non quantificabile,2
vastogirardi,Non quantificabile,1
vauda canavese,Non quantificabile,1
vazzola,Entro i limiti,1
vazzola,Superiore ai limiti,1
vedelago,Entro i limiti,1
vedelago,Non quantificabile,1
vedeseta,Non quantificabile,1
veggiano,Entro i limiti,1
veggiano,Superiore ai limiti,1
velo d'astico,Non quantificabile,1
venaria reale,Non quantificabile,2
venezia,Entro i limiti,2
venezia,Superiore ai limiti,6
venosa,Non quantificabile,2
vercurago,Entro i limiti,1
vergato,Non quantificabile,1
vernasca,Non quantificabile,2
vernio,Non quantificabile,1
vernole,Entro i limiti,1
verolanuova,Superiore ai limiti,1
verolavecchia,Non quantificabile,1
verona,Entro i limiti,2
verona,Non quantificabile,1
vertemate,Superiore ai limiti,1
vescovana,Non quantificabile,1
vescovato,Superiore ai limiti,1
vestone,Non quantificabile,1
vezza d'alba,Superiore ai limiti,1
vezzano ligure,Non quantificabile,1
viadana,Superiore ai limiti,2
viareggio,Superiore ai limiti,1
vicchio,Entro i limiti,1
vicenza,Entro i limiti,5
vicenza,Non quantificabile,3
vietri di potenza,Non quantificabile,1
vietrisulmare(sa),Non quantificabile,1
vigasio,Entro i limiti,2
vigevano,Entro i limiti,1
vigone,Non quantificabile,1
vigonza,Entro i limiti,1
villa carcina,Superiore ai limiti,1
villa di chiavenna,Non quantificabile,1
villa di tirano,Non quantificabile,1
villa lagarina,Superiore ai limiti,1
villadose,Entro i limiti,1
villadose,Non quantificabile,1
villadose,Superiore ai limiti,1
villafalletto,Non quantificabile,1
villafranca d`asti,Entro i limiti,1
villafranca di verona,Entro i limiti,1
villafranca piemonte,Non quantificabile,1
villafranca piemonte,Superiore ai limiti,1
villaga,Entro i limiti,1
villaliterno(ce),Superiore ai limiti,1
villalvernia,Non quantificabile,1
villanova d'asti,Superiore ai limiti,1
villanova marchesana,Superiore ai limiti,1
villanova sillaro,Superiore ai limiti,1
villanova sull'arda,Entro i limiti,1
villanova sull'arda,Superiore ai limiti,2
villarboit,Superiore ai limiti,1
villastellone,Superiore ai limiti,1
villaverla,Non quantificabile,1
ville d'anaunia,Entro i limiti,1
villeneuve,Non quantificabile,1
villimpenta,Superiore ai limiti,1
villorba,Superiore ai limiti,1
viola,Superiore ai limiti,1
vittoria,Superiore ai limiti,1
viverone,Non quantificabile,1
vizzolo predabissi,Superiore ai limiti,1
vo',Entro i limiti,1
vobarno,Entro i limiti,1
voghera,Non quantificabile,1
volongo/fiesse,Superiore ai limiti,1
volta mantovana,Entro i limiti,1
zapponeta,Superiore ai limiti,1
zavattarello,Non quantificabile,1
zerbolò,Entro i limiti,1
zero branco,Entro i limiti,1
zevio,Entro i limiti,2
zevio,Non quantificabile,3
ziano piacentino,Superiore ai limiti,1
zimella,Entro i limiti,2
zimella,Non quantificabile,1
zimella,Superiore ai limiti,1
zinasco,Entro i limiti,1
zogno,Non quantificabile,1
